Assignment,Attendence,Book,Course,Feedback,Lecture,Manual,Page,Project,Questionnaire,Quiz,Source,Study_material,Survey,Test,URL
104538.0,0.0,3591.0,65037.0,0.0,38304.0,7182.0,3591.0,0.0,399.0,93366.0,0.0,11970.0,3990.0,86583.0,0.0
131000.0,0.0,4500.0,81500.0,0.0,48000.0,9000.0,4500.0,0.0,500.0,117000.0,0.0,15000.0,5000.0,108500.0,0.0
47684.0,0.0,1638.0,29666.0,0.0,17472.0,3276.0,1638.0,0.0,182.0,42588.0,0.0,5460.0,1820.0,39494.0,0.0
1850.0,10.0,30.0,640.0,0.0,160.0,60.0,10.0,0.0,10.0,1120.0,70.0,40.0,40.0,2950.0,30.0
46250.0,250.0,750.0,16000.0,0.0,4000.0,1500.0,250.0,0.0,250.0,28000.0,1750.0,1000.0,1000.0,73750.0,750.0
79735.0,431.0,1293.0,27584.0,0.0,6896.0,2586.0,431.0,0.0,431.0,48272.0,3017.0,1724.0,1724.0,127145.0,1293.0
7585.0,41.0,123.0,2624.0,0.0,656.0,246.0,41.0,0.0,41.0,4592.0,287.0,164.0,164.0,12095.0,123.0
4396.0,84.0,56.0,966.0,0.0,1148.0,196.0,14.0,0.0,0.0,2016.0,0.0,210.0,196.0,5390.0,42.0
141300.0,2700.0,1800.0,31050.0,0.0,36900.0,6300.0,450.0,0.0,0.0,64800.0,0.0,6750.0,6300.0,173250.0,1350.0
169560.0,3240.0,2160.0,37260.0,0.0,44280.0,7560.0,540.0,0.0,0.0,77760.0,0.0,8100.0,7560.0,207900.0,1620.0
23550.0,450.0,300.0,5175.0,0.0,6150.0,1050.0,75.0,0.0,0.0,10800.0,0.0,1125.0,1050.0,28875.0,225.0
6048.0,0.0,168.0,4620.0,0.0,2072.0,420.0,112.0,0.0,28.0,6104.0,0.0,588.0,196.0,9240.0,140.0
49896.0,0.0,1386.0,38115.0,0.0,17094.0,3465.0,924.0,0.0,231.0,50358.0,0.0,4851.0,1617.0,76230.0,1155.0
161352.0,0.0,4482.0,123255.0,0.0,55278.0,11205.0,2988.0,0.0,747.0,162846.0,0.0,15687.0,5229.0,246510.0,3735.0
22680.0,0.0,630.0,17325.0,0.0,7770.0,1575.0,420.0,0.0,105.0,22890.0,0.0,2205.0,735.0,34650.0,525.0
370817.0,6170.0,3085.0,124017.0,1234.0,48126.0,9872.0,1234.0,2468.0,0.0,33318.0,4319.0,10489.0,4319.0,307883.0,3085.0
410483.0,6830.0,3415.0,137283.0,1366.0,53274.0,10928.0,1366.0,2732.0,0.0,36882.0,4781.0,11611.0,4781.0,340817.0,3415.0
193522.0,3220.0,1610.0,64722.0,644.0,25116.0,5152.0,644.0,1288.0,0.0,17388.0,2254.0,5474.0,2254.0,160678.0,1610.0
13794.0,76.0,342.0,6004.0,0.0,3230.0,722.0,38.0,0.0,0.0,3876.0,0.0,912.0,342.0,8778.0,114.0
134673.0,742.0,3339.0,58618.0,0.0,31535.0,7049.0,371.0,0.0,0.0,37842.0,0.0,8904.0,3339.0,85701.0,1113.0
173877.0,958.0,4311.0,75682.0,0.0,40715.0,9101.0,479.0,0.0,0.0,48858.0,0.0,11496.0,4311.0,110649.0,1437.0
86031.0,474.0,2133.0,37446.0,0.0,20145.0,4503.0,237.0,0.0,0.0,24174.0,0.0,5688.0,2133.0,54747.0,711.0
247800.0,0.0,708.0,77880.0,0.0,36108.0,14868.0,0.0,0.0,0.0,236472.0,0.0,4956.0,9204.0,507636.0,708.0
309050.0,0.0,883.0,97130.0,0.0,45033.0,18543.0,0.0,0.0,0.0,294922.0,0.0,6181.0,11479.0,633111.0,883.0
13300.0,0.0,38.0,4180.0,0.0,1938.0,798.0,0.0,0.0,0.0,12692.0,0.0,266.0,494.0,27246.0,38.0
2172.0,36.0,0.0,900.0,0.0,96.0,84.0,12.0,0.0,0.0,600.0,0.0,60.0,72.0,2076.0,0.0
28598.0,474.0,0.0,11850.0,0.0,1264.0,1106.0,158.0,0.0,0.0,7900.0,0.0,790.0,948.0,27334.0,0.0
56110.0,930.0,0.0,23250.0,0.0,2480.0,2170.0,310.0,0.0,0.0,15500.0,0.0,1550.0,1860.0,53630.0,0.0
6878.0,114.0,0.0,2850.0,0.0,304.0,266.0,38.0,0.0,0.0,1900.0,0.0,190.0,228.0,6574.0,0.0
9264.0,0.0,128.0,4496.0,0.0,640.0,480.0,32.0,0.0,16.0,7280.0,16.0,768.0,160.0,5072.0,144.0
370560.0,0.0,5120.0,179840.0,0.0,25600.0,19200.0,1280.0,0.0,640.0,291200.0,640.0,30720.0,6400.0,202880.0,5760.0
348558.0,0.0,4816.0,169162.0,0.0,24080.0,18060.0,1204.0,0.0,602.0,273910.0,602.0,28896.0,6020.0,190834.0,5418.0
391404.0,0.0,5408.0,189956.0,0.0,27040.0,20280.0,1352.0,0.0,676.0,307580.0,676.0,32448.0,6760.0,214292.0,6084.0
11088.0,0.0,36.0,2880.0,0.0,1008.0,936.0,144.0,0.0,0.0,3600.0,0.0,1188.0,360.0,8892.0,108.0
74228.0,0.0,241.0,19280.0,0.0,6748.0,6266.0,964.0,0.0,0.0,24100.0,0.0,7953.0,2410.0,59527.0,723.0
142604.0,0.0,463.0,37040.0,0.0,12964.0,12038.0,1852.0,0.0,0.0,46300.0,0.0,15279.0,4630.0,114361.0,1389.0
42504.0,0.0,138.0,11040.0,0.0,3864.0,3588.0,552.0,0.0,0.0,13800.0,0.0,4554.0,1380.0,34086.0,414.0
2040.0,30.0,10.0,570.0,0.0,620.0,120.0,0.0,0.0,10.0,610.0,0.0,70.0,60.0,4340.0,0.0
